CountActive,Description,Ateco,IdProvince
453,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,6
856,ATTIVITA' IMMOBILIARI,L,6
2077,ATTIVITÀ MANIFATTURIERE,C,6
884,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,6
4548,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,6
2770,COSTRUZIONI,F,6
13,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,6
60,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,6
112,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,6
105,ISTRUZIONE,P,6
745,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,6
147,SANITA' E ASSISTENZA SOCIALE,Q,6
546,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,6
505,TRASPORTO E MAGAZZINAGGIO,H,6
5564,AGRICOLTURA SILVICOLTURA E PESCA,A,7
6,ALTRE ATTIVITÀ,X,7
861,ALTRE ATTIVITÀ DI SERVIZI,S,7
167,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,7
1241,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,7
392,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,7
1122,ATTIVITA' IMMOBILIARI,L,7
1698,ATTIVITÀ MANIFATTURIERE,C,7
598,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,7
4104,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,7
3374,COSTRUZIONI,F,7
5,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,7
28,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,7
68,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,7
108,ISTRUZIONE,P,7
612,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,7
108,SANITA' E ASSISTENZA SOCIALE,Q,7
275,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,7
336,TRASPORTO E MAGAZZINAGGIO,H,7
10591,AGRICOLTURA SILVICOLTURA E PESCA,A,8
28,ALTRE ATTIVITÀ,X,8
1477,ALTRE ATTIVITÀ DI SERVIZI,S,8
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,8
378,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,8
2294,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,8
669,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,8
787,ATTIVITA' IMMOBILIARI,L,8
3208,ATTIVITÀ MANIFATTURIERE,C,8
1103,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,8
9104,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,8
4296,COSTRUZIONI,F,8
22,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,8
61,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,8
93,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,8
200,ISTRUZIONE,P,8
893,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,8
322,SANITA' E ASSISTENZA SOCIALE,Q,8
595,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,8
673,TRASPORTO E MAGAZZINAGGIO,H,8
17961,AGRICOLTURA SILVICOLTURA E PESCA,A,9
85,ALTRE ATTIVITÀ,X,9
4573,ALTRE ATTIVITÀ DI SERVIZI,S,9
1458,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,9
6770,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,9
1978,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,9
2379,ATTIVITA' IMMOBILIARI,L,9
7433,ATTIVITÀ MANIFATTURIERE,C,9
3555,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,9
27758,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,9
12398,COSTRUZIONI,F,9
34,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,9
240,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,9
219,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,9
628,ISTRUZIONE,P,9
2993,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,9
997,SANITA' E ASSISTENZA SOCIALE,Q,9
2185,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,9
2819,TRASPORTO E MAGAZZINAGGIO,H,9
8612,AGRICOLTURA SILVICOLTURA E PESCA,A,10
42,ALTRE ATTIVITÀ,X,10
1584,ALTRE ATTIVITÀ DI SERVIZI,S,10
475,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,10
1997,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,10
1,ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO PRODUZIONE DI BENI E SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE,T,10
525,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,10
593,ATTIVITA' IMMOBILIARI,L,10
3068,ATTIVITÀ MANIFATTURIERE,C,10
805,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,10
9211,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,10
3240,COSTRUZIONI,F,10
38,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,10
59,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,10
56,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,10
159,ISTRUZIONE,P,10
808,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,10
226,SANITA' E ASSISTENZA SOCIALE,Q,10
391,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,10
744,TRASPORTO E MAGAZZINAGGIO,H,10
1938,AGRICOLTURA SILVICOLTURA E PESCA,A,11
9,ALTRE ATTIVITÀ,X,11
615,ALTRE ATTIVITÀ DI SERVIZI,S,11
152,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,11
1689,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,11
319,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,11
683,ATTIVITA' IMMOBILIARI,L,11
1514,ATTIVITÀ MANIFATTURIERE,C,11
493,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,11
2847,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,11
2256,COSTRUZIONI,F,11
16,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,11
28,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,11
45,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,11
75,ISTRUZIONE,P,11
397,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,11
75,SANITA' E ASSISTENZA SOCIALE,Q,11
219,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,11
301,TRASPORTO E MAGAZZINAGGIO,H,11
10505,AGRICOLTURA SILVICOLTURA E PESCA,A,12
18,ALTRE ATTIVITÀ,X,12
1162,ALTRE ATTIVITÀ DI SERVIZI,S,12
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,12
315,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,12
1797,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,12
500,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,12
495,ATTIVITA' IMMOBILIARI,L,12
2076,ATTIVITÀ MANIFATTURIERE,C,12
878,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,12
6696,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,12
3414,COSTRUZIONI,F,12
20,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,12
67,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,12
70,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,12
158,ISTRUZIONE,P,12
727,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,12
264,SANITA' E ASSISTENZA SOCIALE,Q,12
572,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,12
507,TRASPORTO E MAGAZZINAGGIO,H,12
4851,AGRICOLTURA SILVICOLTURA E PESCA,A,13
77,ALTRE ATTIVITÀ,X,13
4525,ALTRE ATTIVITÀ DI SERVIZI,S,13
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,13
1168,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,13
5552,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,13
2483,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,13
6439,ATTIVITA' IMMOBILIARI,L,13
